fips,year,state_abbr,s2_state_rank_pct,s2_mom_rank_pct,s2_score,quiet,universe_B,has_feb_price,s2_eligible,s2_rank_quiet_B,s2_quintile_quiet_B,s2_pct_quiet_B,s2_as_of
29187,2025,MO,0.6289902280130293,0.5985021165744058,0.6137461722937175,True,True,True,True,237.0,1.0,0.87891226269882,2026-02-28
29189,2025,MO,0.6289902280130293,0.620319114295018,0.6246546711540236,True,False,True,False,,,,2026-02-28
29195,2025,MO,0.6289902280130293,0.26571149462715726,0.4473508613200933,True,True,True,True,716.0,2.0,0.6331452026680349,2026-02-28
29197,2025,MO,0.6289902280130293,0.21816997720612177,0.4235801026095755,True,True,True,True,809.0,3.0,0.5854284248332479,2026-02-28
29199,2025,MO,0.6289902280130293,0.0592640833604689,0.3441271556867491,True,True,True,True,1061.0,3.0,0.4561313494099538,2026-02-28
29201,2025,MO,0.6289902280130293,0.21686746987951808,0.4229288489462737,True,True,True,True,813.0,3.0,0.5833760903027193,2026-02-28
29203,2025,MO,0.6289902280130293,0.3904265711494627,0.509708399581246,True,True,True,True,525.0,2.0,0.7311441765007696,2026-02-28
29205,2025,MO,0.6289902280130293,0.995441224356887,0.8122157261849581,False,True,True,False,,,,2026-02-28
29207,2025,MO,0.6289902280130293,0.2745034190817323,0.4517468235473808,True,True,True,True,698.0,2.0,0.642380708055413,2026-02-28
29209,2025,MO,0.6289902280130293,0.25594268967762945,0.44246645884532937,True,True,True,True,736.0,2.0,0.6228835300153925,2026-02-28
29211,2025,MO,0.6289902280130293,0.034190817323347444,0.33159052266818834,True,True,True,True,1110.0,3.0,0.43099025141097996,2026-02-28
29213,2025,MO,0.6289902280130293,0.19667860631716053,0.4128344171650949,True,True,True,True,849.0,3.0,0.5649050795279631,2026-02-28
29215,2025,MO,0.6289902280130293,0.7245197004233149,0.676754964218172,False,True,True,False,,,,2026-02-28
29217,2025,MO,0.6289902280130293,0.9980462390100945,0.8135182335115618,False,True,True,False,,,,2026-02-28
29219,2025,MO,0.6289902280130293,0.6753500488440247,0.652170138428527,False,True,True,False,,,,2026-02-28
29221,2025,MO,0.6289902280130293,0.4939759036144578,0.5614830658137435,True,True,True,True,358.0,1.0,0.8168291431503335,2026-02-28
29223,2025,MO,0.6289902280130293,0.267014001953761,0.44800211498339515,True,True,True,True,712.0,2.0,0.6351975371985633,2026-02-28
29225,2025,MO,0.6289902280130293,0.4128948225333767,0.520942525273203,True,True,True,True,480.0,2.0,0.754232939969215,2026-02-28
29229,2025,MO,0.6289902280130293,0.15499837186584176,0.3919942999394355,True,True,True,True,908.0,3.0,0.534633145202668,2026-02-28
29510,2025,MO,0.6289902280130293,0.5060240963855421,0.5675071621992858,True,False,True,False,,,,2026-02-28
30001,2025,MT,0.4395765472312704,0.5421686746987951,0.49087261096503276,True,True,True,True,581.0,2.0,0.7024114930733709,2026-02-28
30003,2025,MT,0.4395765472312704,0.5509605991533703,0.4952685731923203,True,True,True,True,564.0,2.0,0.7111339148281169,2026-02-28
30005,2025,MT,0.4395765472312704,0.9387821556496255,0.689179351440448,False,True,True,False,,,,2026-02-28
30007,2025,MT,0.4395765472312704,0.5897101921198307,0.5146433696755506,True,True,True,True,504.0,2.0,0.7419189327860441,2026-02-28
30009,2025,MT,0.4395765472312704,0.7958319765548681,0.6177042618930693,False,True,True,False,,,,2026-02-28
30011,2025,MT,0.4395765472312704,0.9029632041680234,0.6712698756996469,False,True,True,False,,,,2026-02-28
30013,2025,MT,0.4395765472312704,0.9475740801042006,0.6935753136677355,False,True,True,False,,,,2026-02-28
30015,2025,MT,0.4395765472312704,0.972972972972973,0.7062747601021218,False,True,True,False,,,,2026-02-28
30017,2025,MT,0.4395765472312704,0.34907196352979486,0.3943242553805326,True,True,True,True,900.0,3.0,0.538737814263725,2026-02-28
30019,2025,MT,0.4395765472312704,0.09671116900032563,0.268143858115798,True,True,True,True,1292.0,4.0,0.33760903027193434,2026-02-28
30021,2025,MT,0.4395765472312704,0.36437642461738845,0.40197648592432944,True,True,True,True,882.0,3.0,0.5479733196511031,2026-02-28
30023,2025,MT,0.4395765472312704,0.8251383914034517,0.632357469317361,False,True,True,False,,,,2026-02-28
30025,2025,MT,0.4395765472312704,0.14067079127320092,0.29012366925223565,True,True,True,True,1232.0,4.0,0.3683940482298615,2026-02-28
30027,2025,MT,0.4395765472312704,0.9179420384239662,0.6787592928276183,False,True,True,False,,,,2026-02-28
30029,2025,MT,0.4395765472312704,0.2702702702702703,0.35492340875077033,True,True,True,True,1026.0,3.0,0.474089276552078,2026-02-28
30031,2025,MT,0.4395765472312704,0.31781178769130575,0.37869416746128803,True,True,True,True,956.0,3.0,0.5100051308363264,2026-02-28
30033,2025,MT,0.4395765472312704,1.0,0.7197882736156351,False,True,True,False,,,,2026-02-28
30035,2025,MT,0.4395765472312704,0.6584174535981765,0.5489970004147234,True,True,True,True,395.0,2.0,0.7978450487429452,2026-02-28
30037,2025,MT,0.4395765472312704,0.34125691957017257,0.39041673340072147,True,True,True,True,915.0,3.0,0.5310415597742432,2026-02-28
30039,2025,MT,0.4395765472312704,0.34776945620319116,0.39367300171723074,True,True,True,True,903.0,3.0,0.5371985633658286,2026-02-28
30041,2025,MT,0.4395765472312704,0.6271572777596874,0.533366912495479,True,True,True,True,434.0,2.0,0.7778347870702924,2026-02-28
30043,2025,MT,0.4395765472312704,0.7531748616085966,0.5963757044199335,False,True,True,False,,,,2026-02-28
30045,2025,MT,0.4395765472312704,0.8394659719960925,0.6395212596136814,False,True,True,False,,,,2026-02-28
30047,2025,MT,0.4395765472312704,0.36958645392380335,0.40458150057753683,True,True,True,True,875.0,3.0,0.5515649050795279,2026-02-28
30049,2025,MT,0.4395765472312704,0.5825464018235103,0.5110614745273903,True,True,True,True,517.0,2.0,0.7352488455618266,2026-02-28
30051,2025,MT,0.4395765472312704,0.7450341908173234,0.5923053690242969,False,True,True,False,,,,2026-02-28
30053,2025,MT,0.4395765472312704,0.6818625854770433,0.5607195663541569,False,True,True,False,,,,2026-02-28
30055,2025,MT,0.4395765472312704,0.9749267339628785,0.7072516405970745,False,True,True,False,,,,2026-02-28
30057,2025,MT,0.4395765472312704,0.3591663953109736,0.399371471271122,True,True,True,True,886.0,3.0,0.5459209851205746,2026-02-28
30059,2025,MT,0.4395765472312704,0.7417779225008141,0.5906772348660423,False,True,True,False,,,,2026-02-28
30061,2025,MT,0.4395765472312704,0.41745359817648975,0.42851507270388006,True,True,True,True,789.0,3.0,0.5956900974858902,2026-02-28
30063,2025,MT,0.4395765472312704,0.4969065450993162,0.4682415461652933,True,True,True,True,646.0,2.0,0.6690610569522832,2026-02-28
30065,2025,MT,0.4395765472312704,0.21979811136437644,0.3296873292978234,True,True,True,True,1116.0,3.0,0.4279117496151873,2026-02-28
30067,2025,MT,0.4395765472312704,0.25301204819277107,0.3462942977120207,True,True,True,True,1054.0,3.0,0.45972293483837867,2026-02-28
30069,2025,MT,0.4395765472312704,0.9325952458482579,0.6860858965397642,False,True,True,False,,,,2026-02-28
