fips,county_name,year,sec_point_in_time_hq_company_count,sec_point_in_time_hq_filing_count,sec_point_in_time_hq_companies,sec_point_in_time_hq_tickers,sec_point_in_time_hq_ciks,sec_point_in_time_hq_source_queue_rows,sec_point_in_time_hq_mean_geocode_confidence,candidate_status,production_change_allowed
36061,"New York County, New York",2025,1,1,Energy Transition Special Opportunities,ETSS,0002085932,sec_pit_0357,0.92,report_only_candidate_pending_source_maturity_gate,False
37119,Mecklenburg County,2025,1,1,AIR T INC,AIRT,0000353184,sec_pit_0010,1.0,report_only_candidate_pending_source_maturity_gate,False
38015,Burleigh County,2025,1,1,"Everus Construction Group, Inc.",ECG,0002015845,sec_pit_0165,1.0,report_only_candidate_pending_source_maturity_gate,False
42077,Lehigh County,2025,1,1,"Air Products & Chemicals, Inc.",APD,0000002969,sec_pit_0029,0.95,report_only_candidate_pending_source_maturity_gate,False
47157,Shelby County,2025,2,2,AUTOZONE INC; FEDEX CORP,AZO; FDX,0000866787; 0001048911,sec_pit_0027; sec_pit_0170,1.0,report_only_candidate_pending_source_maturity_gate,False
48113,Dallas County,2025,1,1,ATMOS ENERGY CORP,ATO,0000731802,sec_pit_0022,1.0,report_only_candidate_pending_source_maturity_gate,False
48201,Harris County,2025,1,1,CO2 Energy Transition Corp.,NOEM,0001956648,sec_pit_0078,1.0,report_only_candidate_pending_source_maturity_gate,False
48453,"Travis County, Texas",2025,1,2,Alussa Energy Acquisition Corp. II,ALUB,0002041493,sec_pit_0504; sec_pit_0502,0.88,report_only_candidate_pending_source_maturity_gate,False
51013,Arlington County,2025,1,1,"Fluence Energy, Inc.",FLNC,0001868941,sec_pit_0181,1.0,report_only_candidate_pending_source_maturity_gate,False
54011,Cabell County,2025,1,1,Energy Services of America CORP,ESOA,0001357971,sec_pit_0153,1.0,report_only_candidate_pending_source_maturity_gate,False
01069,Houston County,2026,1,1,"Construction Partners, Inc.",ROAD,0001718227,sec_pit_0307,1.0,report_only_candidate_pending_source_maturity_gate,False
01117,Shelby County,2026,1,3,Diversified Energy Co,DEC,0001922446,sec_pit_0137; sec_pit_0331; sec_pit_0332,1.0,report_only_candidate_pending_source_maturity_gate,False
05007,Benton County,2026,2,3,Walmart Inc.; HUNT J B TRANSPORT SERVICES INC,WMT; JBHT,0000104169; 0000728535,sec_pit_0205; sec_pit_0410; sec_pit_0400,0.9866666666666667,report_only_candidate_pending_source_maturity_gate,False
05143,"Washington County, Arkansas",2026,1,1,"TYSON FOODS, INC.",TSN,0000100493,sec_pit_0408,0.92,report_only_candidate_pending_source_maturity_gate,False
06001,Alameda County,2026,2,4,"Energy Recovery, Inc.; Enphase Energy, Inc.",ERII; ENPH,0001421517; 0001463101,sec_pit_0151; sec_pit_0350; sec_pit_0160; sec_pit_0361,1.0,report_only_candidate_pending_source_maturity_gate,False
06037,Los Angeles County,2026,3,5,"Capstone Energy Plus, Inc.; BARFRESH FOOD GROUP INC.; Consensus Cloud Solutions, Inc.",CGEH; BRFH; CCSI,0001009759; 0001487197; 0001866633,sec_pit_0282; sec_pit_0040; sec_pit_0237; sec_pit_0106; sec_pit_0303,1.0,report_only_candidate_pending_source_maturity_gate,False
06059,Orange County,2026,3,6,Bimergen Energy Corp; Clean Energy Fuels Corp.; CHEETAH NET SUPPLY CHAIN SERVICE INC.,BESS; CLNE; CTNT,0001066764; 0001368265; 0001951667,sec_pit_0057; sec_pit_0252; sec_pit_0100; sec_pit_0293; sec_pit_0075; sec_pit_0270,1.0,report_only_candidate_pending_source_maturity_gate,False
06085,Santa Clara County,2026,4,7,"Apple Inc.; NVIDIA CORP; Bloom Energy Corp; GCT Semiconductor Holding, Inc.",AAPL; NVDA; BE; GCTS,0000320193; 0001045810; 0001664703; 0001851961,sec_pit_0232; sec_pit_0195; sec_pit_0404; sec_pit_0059; sec_pit_0258; sec_pit_0187; sec_pit_0396,0.9971428571428572,report_only_candidate_pending_source_maturity_gate,False
06111,"Ventura County, California",2026,1,2,"Energy Vault Holdings, Inc.",NRGV,0001828536,sec_pit_0158; sec_pit_0359,0.92,report_only_candidate_pending_source_maturity_gate,False
