source_lane,review_issue,review_priority,fips,state_abbr,county_name,source_id,source_name,source_year,detail,recommended_action
CMS/HCRIS,missing_net_patient_revenue,medium,28063,MS,"Jefferson County, Mississippi",250780,JEFFERSON COUNTY HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,22079,LA,"Rapides Parish, Louisiana",194118,MERCY BEHAVIORAL HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,17031,IL,"Cook County, Illinois",143302,SHRINERS HOSPITALS FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,25025,MA,"Suffolk County, Massachusetts",223304,THE SHRINERS HOSPITAL FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,48201,TX,"Harris County, Texas",670310,SE TEXAS ER & HOSPITAL,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,21195,KY,"Pike County, Kentucky",180155,ARH ADVANCED CARE - BIG SANDY,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,48201,TX,"Harris County, Texas",670320,EXCELLENCE EMERGENCY HOSPITAL LLC,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,06067,CA,"Sacramento County, California",053311,SHRINERS HOSPITAL FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,15003,HI,"Honolulu County, Hawaii",123301,SHRINERS HOSPITAL FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,41051,OR,"Multnomah County, Oregon",383300,SHRINERS HOSPITALS FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,53053,WA,"Pierce County, Washington",503301,MARY BRIDGE CHILDRENS HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,53063,WA,"Spokane County, Washington",503302,SHRINERS HOSPITALS FOR CHILDREN,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,06085,CA,"Santa Clara County, California",054150,KAISER PERMANENTE PSYCHIATRIC HEALTH,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,36103,NY,"Suffolk County, New York",334064,SAGAMORE CHILDRENS PSYCH CTR,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,36029,NY,"Erie County, New York",334065,WESTERN NY CHILDRENS PSYCH CTR,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,26117,MI,"Montcalm County, Michigan",231312,SHERIDAN COMMUNITY HOSPITAL,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,01073,AL,"Jefferson County, Alabama",014000,HILL CREST HOSPITAL,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,01069,AL,"Houston County, Alabama",014013,PREMIER BEH SOLUTIONS OF ALABAMA,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,36087,NY,"Rockland County, New York",334066,ROCKLAND CHILDRENS PSYCHIATRIC CTR,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,36081,NY,"Queens County, New York",334067,NEW YORK CITY CHILDRENS PHYSCH CTR,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,35049,NM,"Santa Fe County, New Mexico",320057,SANTA FE INDIAN HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,42017,PA,"Bucks County, Pennsylvania",394038,FOUNDATIONS BEHAVIORAL HEALTH,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,27053,MN,"Hennepin County, Minnesota",244016,PRAIRIECARE,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,31173,NE,"Thurston County, Nebraska",280059,TWELVE CLANS UNITY HOSPITAL,2023,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,49011,UT,"Davis County, Utah",464007,BENCHMARK BEHAVIORAL HEALTH SYSTEM I,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
CMS/HCRIS,missing_net_patient_revenue,medium,51127,VA,"New Kent County, Virginia",493300,CUMBERLAND HOSPITAL LLC,2024,CMS field `net_patient_revenue_usd` is missing.,operator_review_before_source_promotion
