batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
284003__2024__033,"FOLSOM & PROSPECTOR, LINCOLN, NE, 68509",Match,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522","-96.730259319604,40.784563873612",-96.730259319604,40.784563873612,,,31,109,31109,003500,1001,12
190114__2024__289,"620 EAST COLLEGE, HOMER, LA, 71040",Match,Exact,"620 E COLLEGE, HOMER, LA, 71040","-93.062402347205,32.795082985579",-93.062402347205,32.795082985579,73233406,R,22,027,22027,950400,4018,12
230142__2024__217,"33155 ANNAPOLIS AVENUE, WAYNE, MI, 48184",Match,Non_Exact,"33155 ANNAPOLIS ST, WAYNE, MI, 48184","-83.365469381484,42.274225995337",-83.365469381484,42.274225995337,95417236,L,26,163,26163,566800,3000,12
373300__2024__124,"2002 E. ROBINSON ST, NORMAN, OK, 73071",Match,Exact,"2002 E ROBINSON ST, NORMAN, OK, 73071","-97.411823782161,35.232714330171",-97.411823782161,35.232714330171,648704546,R,40,027,40027,200800,2000,12
220084__2023__182,"113 ORNC, CONCORD, MA, 01742",No_Match,,,,,,,,,,,,,3
170109__2023__312,"2100 BAPTISTE DR, PAOLA, KS, 66071",Match,Exact,"2100 BAPTISTE DR, PAOLA, KS, 66071","-94.848193218539,38.563395152475",-94.848193218539,38.563395152475,647507863,R,20,121,20121,100500,3092,12
170208__2023__090,"7820 W 165TH ST, OVERLAND PARK, KS, 66223",Match,Exact,"7820 W 165TH ST, OVERLAND PARK, KS, 66223","-94.67920632693,38.831653167072",-94.67920632693,38.831653167072,654376720,L,20,091,20091,053418,2001,12
110023__2023__240,"1035 RED BUD ROAD, CALHOUN, GA, 30703",Match,Non_Exact,"1035 RED BUD RD NE, CALHOUN, GA, 30701","-84.920581366489,34.511756109885",-84.920581366489,34.511756109885,610854101,L,13,129,13129,970400,1013,12
340190__2023__073,"8201 HEALTHCARE LOOP, CHARLOTTE, NC, 28215",Match,Exact,"8201 HEALTHCARE LOOP, CHARLOTTE, NC, 28215","-80.648583329674,35.224886380533",-80.648583329674,35.224886380533,648376633,L,37,119,37119,005621,2016,12
264028__2024__120,"1901 PENNSYLVANIA AVE, ST LOUIS, MO, 63133",Match,Exact,"1901 PENNSYLVANIA AVE, SAINT LOUIS, MO, 63133","-90.312557985634,38.685822464663",-90.312557985634,38.685822464663,648256527,L,29,189,29189,214200,3001,12
400012__2024__419,"CENTRO MEDICO, PO BOX 191811 SAN JUAN, PR, 00919",No_Match,,,,,,,,,,,,,3
234042__2023__089,"4050 EAST 12 MILE RD, WARREN, MI, 48092",Match,Non_Exact,"4050 12 MILE RD, WARREN, MI, 48092","-83.067061506469,42.505641422829",-83.067061506469,42.505641422829,110669346,R,26,099,26099,262200,4003,12
403301__2024__159,"PO BOX 191079, SAN JUAN, PR, 00910",No_Match,,,,,,,,,,,,,3
