review_rank,fips,county,state_abbr,year,investable_residual_model_score,p0_repeatable_residual_guardrail_score,_base_rank,guardrail_preserved_flag,guardrail_candidate_flag,p0_repeatable_anchor_mix_support,p0_repeatable_jobs_affordability_support,p0_repeatable_migration_pop_support,p0_repeatable_land_optionality_support,p0_repeatable_treatment_score,preboom_prior_momentum_rank_pct,future_growth_residual_5yr,preboom_future_growth_rank_pct_5yr,total_population,emerging_market_depth_adequacy,qa_severity
76,34021,"Mercer County, New Jersey",NJ,2019,0.04238871614751519,2.85981697171381,458.0,0,1,0.8619513042483558,0.802324371577238,0.35734773162033867,0.5839724453315247,0.6682431504786837,0.24533954727030627,0.15870198437995087,0.778369384359401,367922.0,0.5615288190772277,1
77,26069,"Iosco County, Michigan",MI,2019,0.039659315158716776,2.845840266222962,499.0,0,1,0.8305362496731165,0.7745300281917467,0.5670039912146045,0.39717184690946744,0.6573685866513044,0.37017310252996005,-0.01881127702087626,0.7231281198003328,25197.0,0.8078667705007858,1
78,56025,"Natrona County, Wyoming",WY,2019,0.045504807355162526,2.838269550748752,410.0,0,1,0.608343962771021,0.5501485261285148,0.5267033512032686,0.7254916851454634,0.6031256478287833,0.08388814913448735,0.08359494254660632,0.34076539101497505,80333.0,0.7614001546667031,0
79,15009,"Maui County, Hawaii",HI,2019,0.09120378795059583,0.9700499168053245,91.0,0,0,0.472841371428255,0.6695273543624575,0.5380446590935928,0.25739193006939187,0.48352253215361074,0.5189747003994674,0.28707938755280815,0.7660565723793678,165979.0,0.6425552422567833,1
80,33007,"Coos County, New Hampshire",NH,2019,0.08984904490844364,0.9680532445923461,97.0,0,0,0.370421069810779,0.6156341531276536,0.46657456171425427,0.39299746476966774,0.4541279529520039,0.813249001331558,0.4064399407624931,0.9956738768718802,31741.0,0.907640922937766,1
81,34029,"Ocean County, New Jersey",NJ,2019,0.08501147607646968,0.962396006655574,114.0,0,0,0.5481570933610225,0.48344171658065027,0.4585557234962095,0.2397018631591843,0.4417195386862071,0.25466045272969373,0.2930611251880864,0.9444259567387687,596415.0,0.5199964344204463,1
82,36111,"Ulster County, New York",NY,2019,0.08432909358326737,0.961730449251248,116.0,0,0,0.36917708105034325,0.6301075972116224,0.3158028875296192,0.3343866186167184,0.4089132288979372,0.6301597869507324,0.2640516229689671,0.9693843594009983,178665.0,0.6643929063884051,1
83,34001,"Atlantic County, New Jersey",NJ,2019,0.08287747286276126,0.9603993344425956,120.0,0,0,0.35448854014047443,0.7508891966052966,0.10773602878082958,0.14845850019920445,0.3415207043281731,0.6551264980026631,0.27625809473875923,0.9607321131447587,266105.0,0.5896669848967551,1
84,42107,"Schuylkill County, Pennsylvania",PA,2019,0.08199620402897347,0.9584026622296173,126.0,0,0,0.5785715016451807,0.6091306776356523,0.1401063930283636,0.8048955935295657,0.5368076782745298,0.453728362183755,0.2219921081120454,0.929783693843594,142674.0,0.7198022508504587,0
85,23009,"Hancock County, Maine",ME,2019,0.08194022529121821,0.9580698835274543,127.0,0,0,0.6559312408357652,0.675165109264691,0.5983259728093585,0.1754086754252189,0.5365856288839189,0.4730359520639148,0.1346011304850503,0.8046589018302829,54601.0,0.8352742757977081,0
86,16065,"Madison County, Idaho",ID,2019,0.08068524628763302,0.956738768718802,131.0,0,0,0.577705006447589,0.7080196083975349,0.9098969526643522,0.46686601464025584,0.6585885444102454,0.9360852197070573,-0.04767501661406437,0.7657237936772047,39100.0,0.9407263908834923,1
87,29009,"Barry County, Missouri",MO,2019,0.07899490355465931,0.9540765391014975,139.0,0,0,0.4828678424727351,0.5798584999199199,0.6365308315424036,0.6040914441954696,0.5683996095678403,0.762982689747004,0.129889153096028,0.8685524126455907,35530.0,0.9369845819458228,1
88,23017,"Oxford County, Maine",ME,2019,0.07770162683973013,0.9517470881863561,146.0,0,0,0.33985385304644034,0.4594758766479145,0.5951719686055941,0.19752514546614486,0.39335448230991676,0.6254993342210386,0.34024284345371736,0.9820299500831947,57550.0,0.8843761529800698,0
