cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,packet_rank,provider_name,state_abbr,street_address,city,zip5,raw_county,review_issue,candidate_method,suggested_fips,suggested_county_name,supporting_matched_provider_rows,closeout_action,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
190204,2023,assign_county,22103,"St. Tammany Parish, Louisiana",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned St. Tammany Parish, Louisiana (22103) for provider 190204 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,21,OCHSNER MEDICAL CENTER -NORTHSHORE,LA,100 MEDICAL CENTER DRIVE,SLIDELL,70461,,cms_county_blank,same_state_city_unique_matched_cms_rows,22103,"St. Tammany Parish, Louisiana",3,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
190054,2023,assign_county,22045,"Iberia Parish, Louisiana",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Iberia Parish, Louisiana (22045) for provider 190054 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,22,IBERIA MEDICAL CENTER,LA,2315 W MAIN STREET,NEW IBERIA,70562,,cms_county_blank,same_state_city_unique_matched_cms_rows,22045,"Iberia Parish, Louisiana",1,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
210034,2024,assign_county,24005,"Baltimore County, Maryland",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Baltimore County, Maryland (24005) for provider 210034 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,23,MEDSTAR HARBOR HOSPITAL,MD,3001 SOUTH HANOVER STREET,BALTIMORE,21225,,cms_county_blank,same_state_city_unique_matched_cms_rows,24005,"Baltimore County, Maryland",12,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
474001,2023,assign_county,50025,"Windham County, Vermont",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Windham County, Vermont (50025) for provider 474001 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,24,BRATTLEBORO RETREAT,VT,ANNA MARSH LANE,BRATTLEBORO,05302,,cms_county_blank,same_state_city_unique_matched_cms_rows,50025,"Windham County, Vermont",1,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
334012,2024,assign_county,36007,"Broome County, New York",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Broome County, New York (36007) for provider 334012 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,25,GREATER BINGHAMTON H.C.,NY,425 ROBINSON ST,BINGHAMTON,13901,,cms_county_blank,same_state_city_unique_matched_cms_rows,36007,"Broome County, New York",2,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
514009,2024,assign_county,54011,"Cabell County, West Virginia",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Cabell County, West Virginia (54011) for provider 514009 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,26,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,1530 NORWAY AVENUE,HUNTINGTON,25706,,cms_county_blank,same_state_city_unique_matched_cms_rows,54011,"Cabell County, West Virginia",6,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
050747,2023,assign_county,06059,"Orange County, California",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Orange County, California (06059) for provider 050747 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,27,SOUTH COAST GLOBAL MEDICAL CENTER,CA,2710 SOUTH BRISTOL STREET,SANTA ANA,82701,,cms_county_blank,same_state_city_unique_matched_cms_rows,06059,"Orange County, California",1,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
454064,2023,assign_county,48451,"Tom Green County, Texas",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Tom Green County, Texas (48451) for provider 454064 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,28,RIVER CREST HOSPITAL,TX,1636 HUNTERS GLEN RD,SAN ANGELO,76907,,cms_county_blank,same_state_city_unique_matched_cms_rows,48451,"Tom Green County, Texas",2,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
054089,2024,assign_county,06075,"San Francisco County, California",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned San Francisco County, California (06075) for provider 054089 fiscal year 2024. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,29,JEWISH HOME FOR THE AGED,CA,302 SILVER AVENUE,SAN FRANCISCO,94112,,cms_county_blank,same_state_city_unique_matched_cms_rows,06075,"San Francisco County, California",12,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
343025,2023,assign_county,37021,"Buncombe County, North Carolina",0.76,"Accepted report-only institutional-anchor CMS provider geocode closeout: same-state/same-ZIP unique matched CMS county assigned Buncombe County, North Carolina (37021) for provider 343025 fiscal year 2023. Same-city and external-geocode rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_closeout_packet.csv,approve_same_zip_candidate_after_address_spotcheck,2026-06-04T15:35:17.159055+00:00,30,CAREPARTNERS REHAB HOSPITAL,NC,68 SWEETEN CREEK ROAD,ASHEVILLE,28803,,cms_county_blank,same_state_city_unique_matched_cms_rows,37021,"Buncombe County, North Carolina",2,spot_check_same_city_candidate_before_assignment,held_or_rejected,not_same_zip_closeout_action; not_same_zip_candidate_method; candidate_confidence_below_0_86,False
