attempt_key,provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,attempt_label,attempt_query,status_code,result_count,error,attempted_at
ff5a40668d2e23399fc6,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,same_city_unresolved_after_census_external_geocoder,address_no_zip,"11595 BURNT MILL ROAD, JACKSONVILLE, FL",200,3,,2026-06-05T03:48:01.224263+00:00
fafde08346ad102f4a8e,103052__2023,103052,2023,ENCOMPASS HEALTH REHABILITATION HOSP,FL,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"ENCOMPASS HEALTH REHABILITATION HOSP, JACKSONVILLE, FL, 32256",200,0,,2026-06-05T03:48:02.852109+00:00
d77dacf7da65a8b693f8,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,address_only,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",200,2,,2026-06-05T03:48:04.425991+00:00
9e262b551a059931f111,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,provider_address,"LEGENT ORTHOPEDIC HOSPITAL CARROLLTO, 1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",200,0,,2026-06-05T03:48:05.952011+00:00
6161cd8670c806a2960a,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,address_no_zip,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX",200,2,,2026-06-05T03:48:07.504934+00:00
a66c76fcf8d97b5ca16e,670265__2024,670265,2024,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"LEGENT ORTHOPEDIC HOSPITAL CARROLLTO, CARROLLTON, TX, 75007",200,0,,2026-06-05T03:48:09.029577+00:00
092ecf1304389e6cf40c,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,address_only,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",200,1,,2026-06-05T03:48:10.714117+00:00
4b73c2c322c4aaf7a294,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,provider_address,"WILLOW ROCK CENTER, 22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",200,0,,2026-06-05T03:48:12.379260+00:00
306c03df2edb12cf58a3,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,address_no_zip,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA",200,1,,2026-06-05T03:48:13.965667+00:00
d04b11097a95c106ecf5,054149__2024,054149,2024,WILLOW ROCK CENTER,CA,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"WILLOW ROCK CENTER, SAN LEANDRO, CA, 94578",200,0,,2026-06-05T03:48:15.609535+00:00
9b1d708d5688b2d08173,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_only,"PONCE DE LEON, SAN JUAN, PR, 00919",200,3,,2026-06-05T03:48:17.280330+00:00
3c4286650f99adf39ce4,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"AUXILIO MUTUO HOSPITAL, PONCE DE LEON, SAN JUAN, PR, 00919",200,1,,2026-06-05T03:48:18.732026+00:00
59f9a338c44dc0084552,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"PONCE DE LEON, SAN JUAN, PR",200,3,,2026-06-05T03:48:20.452358+00:00
d6e57177331d03408f2a,400016__2023,400016,2023,AUXILIO MUTUO HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"AUXILIO MUTUO HOSPITAL, SAN JUAN, PR, 00919",200,1,,2026-06-05T03:48:21.890282+00:00
197ec53fa49d3c5d646b,400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,address_only,"917 AVE TITO CASTRO, PONCE, PR, 00733",200,0,,2026-06-05T03:48:23.502453+00:00
1eb95789a8d71ddfe098,400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"SAN LUCAS PONCE, 917 AVE TITO CASTRO, PONCE, PR, 00733",200,0,,2026-06-05T03:48:25.187588+00:00
5788649098e3c7361783,400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"917 AVE TITO CASTRO, PONCE, PR",200,0,,2026-06-05T03:48:26.810702+00:00
4c534351f8731826d307,400044__2023,400044,2023,SAN LUCAS PONCE,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"SAN LUCAS PONCE, PONCE, PR, 00733",200,2,,2026-06-05T03:48:28.445147+00:00
3dd6405a2d840acf29ed,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_only,"BO. MONACILLO, SAN JUAN, PR, 00922",200,3,,2026-06-05T03:48:28.843218+00:00
cec34bfaaa8b8982c9f1,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"UNIVERSITY DISCTRICT HOSPITAL, BO. MONACILLO, SAN JUAN, PR, 00922",200,0,,2026-06-05T03:48:30.491090+00:00
7c38114e08c92283d9b2,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"BO. MONACILLO, SAN JUAN, PR",200,3,,2026-06-05T03:48:31.977473+00:00
9e886934d91aad31aa00,400061__2024,400061,2024,UNIVERSITY DISCTRICT HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"UNIVERSITY DISCTRICT HOSPITAL, SAN JUAN, PR, 00922",200,0,,2026-06-05T03:48:33.599689+00:00
4adcbf599b999ad50f29,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,PR,same_city_unresolved_after_census_external_geocoder,address_only,"CENTRO MEDICO, SAN JUAN, PR, 00922",200,2,,2026-06-05T03:48:35.241001+00:00
60906ab76e06c7fb5288,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"ADMIN DE SERVICIOS MEDICOS DE PR, CENTRO MEDICO, SAN JUAN, PR, 00922",200,0,,2026-06-05T03:48:36.923167+00:00
676b610b09728c1aea85,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"CENTRO MEDICO, SAN JUAN, PR",200,2,,2026-06-05T03:48:38.581289+00:00
6396d39f68e55937de09,400127__2024,400127,2024,ADMIN DE SERVICIOS MEDICOS DE PR,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"ADMIN DE SERVICIOS MEDICOS DE PR, SAN JUAN, PR, 00922",200,0,,2026-06-05T03:48:40.266339+00:00
428f7ec96319e9f9994f,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_only,"RIO PIEDRAS STATION, SAN JUAN, PR, 00928",200,1,,2026-06-05T03:48:41.655970+00:00
0a586e78ec3006fd7d67,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"SAN JUAN MUNICIPAL HOSPITAL, RIO PIEDRAS STATION, SAN JUAN, PR, 00928",200,0,,2026-06-05T03:48:43.324202+00:00
dae05399106bd7424dea,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"RIO PIEDRAS STATION, SAN JUAN, PR",200,1,,2026-06-05T03:48:45.252482+00:00
7db86f4430c0f8d855da,400015__2024,400015,2024,SAN JUAN MUNICIPAL HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"SAN JUAN MUNICIPAL HOSPITAL, SAN JUAN, PR, 00928",200,1,,2026-06-05T03:48:46.881719+00:00
be76e7084b3aaeee34e6,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,PR,same_city_unresolved_after_census_external_geocoder,address_only,"DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",200,0,,2026-06-05T03:48:48.704866+00:00
257830e84bc4bd6ca1fa,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"HOSPITAL SAN FRANCISCO, DE DIEGO AVE. #371, RIO PIEDRAS, PR, 00923",200,0,,2026-06-05T03:48:50.301833+00:00
3e1c969c49b9f1423f75,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"DE DIEGO AVE. #371, RIO PIEDRAS, PR",200,0,,2026-06-05T03:48:52.337993+00:00
f06ea3201eabf08ab5f1,400098__2023,400098,2023,HOSPITAL SAN FRANCISCO,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"HOSPITAL SAN FRANCISCO, RIO PIEDRAS, PR, 00923",200,1,,2026-06-05T03:48:53.996383+00:00
60f0b4ef1e861bf36307,400106__2023,400106,2023,HOSPITAL METROPOLITANO,PR,same_city_unresolved_after_census_external_geocoder,address_only,"21 #1785, RIO PIEDRAS, PR, 00922",200,3,,2026-06-05T03:48:54.387787+00:00
ea7c1369aaa3e88e4428,400106__2023,400106,2023,HOSPITAL METROPOLITANO,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"HOSPITAL METROPOLITANO, 21 #1785, RIO PIEDRAS, PR, 00922",200,0,,2026-06-05T03:48:56.039797+00:00
ee72d92da392c6ada3b0,400106__2023,400106,2023,HOSPITAL METROPOLITANO,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"21 #1785, RIO PIEDRAS, PR",200,3,,2026-06-05T03:48:57.858237+00:00
4668863c7f42f61d3c5c,400106__2023,400106,2023,HOSPITAL METROPOLITANO,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"HOSPITAL METROPOLITANO, RIO PIEDRAS, PR, 00922",200,1,,2026-06-05T03:48:59.289939+00:00
8ba0176b544f08f3c8b2,400022__2023,400022,2023,HOSPITAL DAMAS,PR,same_city_unresolved_after_census_external_geocoder,address_only,"2213 PONCE BY PASS, PONCE, PR, 00717",200,0,,2026-06-05T03:49:00.807901+00:00
ca2dafd32ecfca25ed98,400022__2023,400022,2023,HOSPITAL DAMAS,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"HOSPITAL DAMAS, 2213 PONCE BY PASS, PONCE, PR, 00717",200,0,,2026-06-05T03:49:02.471753+00:00
5b8e184aeba1a85248f6,400022__2023,400022,2023,HOSPITAL DAMAS,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"2213 PONCE BY PASS, PONCE, PR",200,0,,2026-06-05T03:49:04.147606+00:00
15e22d1cdaa743c3f965,400022__2023,400022,2023,HOSPITAL DAMAS,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"HOSPITAL DAMAS, PONCE, PR, 00717",200,1,,2026-06-05T03:49:05.714395+00:00
558f768a53424c430ccf,224045__2023,224045,2023,HOSPITAL FOR BEHAVIORAL MEDICINE,MA,same_city_unresolved_after_census_external_geocoder,address_only,"100 CENTURY DR, WORCESTER, MA, 01606",200,2,,2026-06-05T03:49:06.216094+00:00
68aed8257079087f7ebc,400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,same_city_unresolved_after_census_external_geocoder,address_only,"1395 SAN RAFAEL ST. PDA. 20, SAN JUAN, PR, 00910",200,0,,2026-06-05T03:49:06.940391+00:00
c8d95bf2352564a0bffe,400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"DOCTORS CENTER HOSPITAL SAN JUAN I, 1395 SAN RAFAEL ST. PDA. 20, SAN JUAN, PR, 00910",200,0,,2026-06-05T03:49:08.499779+00:00
b94510a2701a70faf289,400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"1395 SAN RAFAEL ST. PDA. 20, SAN JUAN, PR",200,0,,2026-06-05T03:49:10.169486+00:00
f0b6e4c714db5afd3cc2,400006__2023,400006,2023,DOCTORS CENTER HOSPITAL SAN JUAN I,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"DOCTORS CENTER HOSPITAL SAN JUAN I, SAN JUAN, PR, 00910",200,0,,2026-06-05T03:49:11.888747+00:00
e5b8e223b320fd3fef6e,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,same_city_unresolved_after_census_external_geocoder,address_only,"400 W I-635 SUITE 101, IRVING, TX, 75063",200,0,,2026-06-05T03:49:13.828231+00:00
6e26bacb350a797d5157,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,same_city_unresolved_after_census_external_geocoder,provider_address,"BAYLOR SURGICAL HOSPITAL LAS COLINAS, 400 W I-635 SUITE 101, IRVING, TX, 75063",200,0,,2026-06-05T03:49:15.483509+00:00
3111eedee793d86089fe,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,same_city_unresolved_after_census_external_geocoder,address_no_zip,"400 W I-635 SUITE 101, IRVING, TX",200,0,,2026-06-05T03:49:17.534584+00:00
43ef7abd1236bcbd1a58,450874__2023,450874,2023,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"BAYLOR SURGICAL HOSPITAL LAS COLINAS, IRVING, TX, 75063",200,0,,2026-06-05T03:49:19.244396+00:00
8b2b5a848aeb618dcd1c,403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_only,"PO BOX 191079, SAN JUAN, PR, 00910",200,0,,2026-06-05T03:49:20.835319+00:00
5a197f711b0ce7c69788,403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_address,"UNIVERSITY PEDIATRIC HOSPITAL, PO BOX 191079, SAN JUAN, PR, 00910",200,0,,2026-06-05T03:49:22.459907+00:00
13a5b4898eecbe1d5b01,403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,address_no_zip,"PO BOX 191079, SAN JUAN, PR",200,0,,2026-06-05T03:49:23.972503+00:00
ce4d311fc03b67c3ea02,403301__2024,403301,2024,UNIVERSITY PEDIATRIC HOSPITAL,PR,same_city_unresolved_after_census_external_geocoder,provider_city_zip,"UNIVERSITY PEDIATRIC HOSPITAL, SAN JUAN, PR, 00910",200,0,,2026-06-05T03:49:25.694937+00:00
