diversity_rank,source_pool_rank,diversity_lane,balance_archetype,balance_archetype_score,fips,county,state_abbr,census_region,primary_archetype,primary_archetype_score,secondary_archetype,secondary_archetype_score,energy_commodity_high_caution,qa_status,qa_flags,export_priority_rank,export_priority_score,preboom_classifier_score,investable_residual_model_score,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,total_population,short_thesis,structural_summary,support_narrative,brake_narrative,next_diligence_check
21,113,primary_archetype_slot,manufacturing reshoring,95.8851635289024,36081,"Queens County, New York",NY,Northeast,manufacturing reshoring,95.8851635289024,amenity migration,73.59943293178426,False,unreviewed,,113,0.8447925669835782,0.6092331616021154,0.020402700858079197,0.11309138042773817,0.4779765387842736,0.1004055728201973,2316841.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 11.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.770); site-thesis support is strong (0.724); optionality is moderate (0.646). Brakes: fragility pressure is moderate (0.645); wetlands constraint is moderate (0.609).,Structural support: scarcity/amenity balance is strong (0.770); site-thesis support is strong (0.724); optionality is moderate (0.646),Structural brakes: fragility pressure is moderate (0.645); wetlands constraint is moderate (0.609),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
22,153,primary_archetype_slot,manufacturing reshoring,97.18027821742648,36047,"Kings County, New York",NY,Northeast,manufacturing reshoring,97.18027821742648,amenity migration,61.45816987005318,False,unreviewed,,153,0.8235306828003457,0.43934571023548574,0.048125266696657565,0.16753078418664938,0.4780702053765269,0.0359194962228243,2617631.0,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 16.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.745); site-thesis support is strong (0.719); optionality is moderate (0.624). Brakes: fragility pressure is heavy (0.721); wetlands constraint is moderate (0.615); constraint complexity is moderate (0.557).,Structural support: scarcity/amenity balance is strong (0.745); site-thesis support is strong (0.719); optionality is moderate (0.624),Structural brakes: fragility pressure is heavy (0.721); wetlands constraint is moderate (0.615); constraint complexity is moderate (0.557),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
23,204,primary_archetype_slot,manufacturing reshoring,96.3067756107123,36061,"New York County, New York",NY,Northeast,manufacturing reshoring,96.3067756107123,amenity migration,60.5150229283367,False,unreviewed,,204,0.7957000864304236,0.7381385144865636,-0.02515861508668537,0.030784186649384315,0.4931985336179595,0.2722632012231489,1660664.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 3.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.493).",Wave 3 support is strong; structural brakes are moderate. Supports: fragility/support balance is strong (0.758); scarcity/amenity balance is strong (0.747); site-thesis support is strong (0.731). Brakes: wetlands constraint is moderate (0.646).,Structural support: fragility/support balance is strong (0.758); scarcity/amenity balance is strong (0.747); site-thesis support is strong (0.731),Structural brakes: wetlands constraint is moderate (0.646),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
24,238,primary_archetype_slot,manufacturing reshoring,88.18849184249505,24005,"Baltimore County, Maryland",MD,South,manufacturing reshoring,88.18849184249505,amenity migration,76.03220285906619,False,unreviewed,,238,0.7803154710458082,0.43391172164463737,0.005005919981614276,0.34543097861309136,0.49909099476924057,0.0699666257296156,852425.0,"Moderate quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 34.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.499).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.679); optionality is moderate (0.641). Brakes: wetlands constraint is moderate (0.612).,Structural support: scarcity/amenity balance is strong (0.679); optionality is moderate (0.641),Structural brakes: wetlands constraint is moderate (0.612),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
25,299,primary_archetype_slot,manufacturing reshoring,96.85885146148476,06075,"San Francisco County, California",CA,West,manufacturing reshoring,96.85885146148476,remote-work lifestyle market,78.32756195437776,False,unreviewed,,299,0.7479688850475367,0.77467836003445,-0.046271348409362985,0.04082955281918341,0.5093799883693083,0.2967641674547207,827526.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.773); scarcity/amenity balance is strong (0.716); optionality is strong (0.715). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.773); scarcity/amenity balance is strong (0.716); optionality is strong (0.715),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
26,336,primary_archetype_slot,manufacturing reshoring,89.56447128265488,25025,"Suffolk County, Massachusetts",MA,Northeast,manufacturing reshoring,89.56447128265488,remote-work lifestyle market,76.9292462894516,False,unreviewed,,336,0.7331460674157303,0.4801279326882565,-0.03895149835101953,0.2423849643551523,0.5059925095792366,0.3103427330398773,793144.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 24.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.506).",Wave 3 support is strong; structural brakes are moderate. Supports: fragility/support balance is strong (0.802); scarcity/amenity balance is strong (0.732); optionality is strong (0.731). Brakes: wetlands constraint is heavy (0.680).,Structural support: fragility/support balance is strong (0.802); scarcity/amenity balance is strong (0.732); optionality is strong (0.731),Structural brakes: wetlands constraint is heavy (0.680),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
27,411,primary_archetype_slot,manufacturing reshoring,90.42783690864276,41051,"Multnomah County, Oregon",OR,West,manufacturing reshoring,90.42783690864276,remote-work lifestyle market,84.12913193476082,False,unreviewed,,411,0.706590319792567,0.5830686709779734,-0.034113558333200594,0.1117952041477641,0.4967305743369309,-0.0205697544907982,795897.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 11.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.497).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.868); site-thesis support is moderate (0.619); optionality is moderate (0.615). Brakes: fragility pressure is moderate (0.659); wetlands constraint is moderate (0.645); constraint complexity is moderate (0.602).,Structural support: scarcity/amenity balance is strong (0.868); site-thesis support is moderate (0.619); optionality is moderate (0.615),Structural brakes: fragility pressure is moderate (0.659); wetlands constraint is moderate (0.645); constraint complexity is moderate (0.602),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
28,3,primary_archetype_slot,recovery/rebound market,75.244054595353,42083,"McKean County, Pennsylvania",PA,Northeast,recovery/rebound market,75.244054595353,amenity migration,73.5772238838629,False,unreviewed,,3,0.9563094209161624,0.6764076678438742,0.08152082970254258,0.1743357096565133,0.8965249816462688,0.1575542554258862,39478.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.897).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603). Brakes: constraint pressure is moderate (0.617).,Structural support: scarcity/amenity balance is strong (0.672); optionality is moderate (0.636); fragility/support balance is moderate (0.603),Structural brakes: constraint pressure is moderate (0.617),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
29,6,primary_archetype_slot,recovery/rebound market,77.34039038557313,42021,"Cambria County, Pennsylvania",PA,Northeast,recovery/rebound market,77.34039038557313,amenity migration,75.03468786193777,False,unreviewed,,6,0.9502160760587727,0.7489723701278652,0.13399939265908967,0.027219701879455604,0.7232553927732912,0.2175746866884713,130108.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 2.7%, inside the not-hot gate. Market-depth adequacy is high (0.723).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.670); scarcity/amenity balance is moderate (0.648); optionality is moderate (0.629),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
30,7,primary_archetype_slot,recovery/rebound market,77.03728861390088,24001,"Allegany County, Maryland",MD,South,recovery/rebound market,77.03728861390088,remote-work lifestyle market,71.96775587216942,False,unreviewed,,7,0.9460458081244598,0.6016044434441595,0.08274581667492621,0.339598185353208,0.8820301887480312,0.1435444898070478,67097.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 34.0%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
31,11,primary_archetype_slot,recovery/rebound market,78.15804891084723,21089,"Greenup County, Kentucky",KY,South,recovery/rebound market,78.15804891084723,amenity migration,74.65214621041214,False,unreviewed,,11,0.9261668107173725,0.6070180189424511,0.046580234866292335,0.48152948801036943,0.8605672680066107,0.1234386357191276,35273.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 48.2%, inside the not-hot gate. Market-depth adequacy is high (0.861).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616); fragility/support balance is moderate (0.612). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616); fragility/support balance is moderate (0.612),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
