batch_id,provider_year_key,attempt_label,census_street,census_city,census_state,census_zip
400118__2023__0144,400118__2023,punctuation_normalized,CARR #2,MANATI,PR,00674
400118__2023__0145,400118__2023,street_token_expanded,CARR,MANATI,PR,00674
650003__2023__0146,650003__2023,provider_original,133 ROUTE 3,DEDEDO,GU,96929
404004__2023__0147,404004__2023,provider_original,STATE ROAD #787,CIDRA,PR,00739
404004__2023__0148,404004__2023,suite_stripped,STATE ROAD,CIDRA,PR,00739
400112__2024__0149,400112__2024,provider_original,STREET 3 KM 8.3 65 INFANTERIA AVE.,CAROLINA,PR,00984
400112__2024__0150,400112__2024,punctuation_normalized,STREET 3 KM 8 3 65 INFANTERIA AVE,CAROLINA,PR,00984
400112__2024__0151,400112__2024,street_token_expanded,STREET 3 KM 8 3 65 INFANTERIA AVENUE,CAROLINA,PR,00984
400032__2023__0152,400032__2023,provider_original,CARR. #2 KM. 11.7,BAYAMON,PR,00960
400032__2023__0153,400032__2023,suite_stripped,CARR.,BAYAMON,PR,00960
400032__2023__0154,400032__2023,punctuation_normalized,CARR #2 KM 11 7,BAYAMON,PR,00960
400032__2023__0155,400032__2023,street_token_expanded,CARR,BAYAMON,PR,00960
650001__2023__0156,650001__2023,provider_original,850 GOVERNOR CARLOS G CAMACHO RD,OKA TAMUNING,GU,96911
650001__2023__0157,650001__2023,street_token_expanded,850 GOVERNOR CARLOS G CAMACHO ROAD,OKA TAMUNING,GU,96911
390156__2024__0158,390156__2024,provider_original,LANSDOWNE AVE & BAILEY RD.,DARBY,PA,19023
390156__2024__0159,390156__2024,ampersand_expanded,LANSDOWNE AVE AND BAILEY RD.,DARBY,PA,19023
390156__2024__0160,390156__2024,punctuation_normalized,LANSDOWNE AVE & BAILEY RD,DARBY,PA,19023
390156__2024__0161,390156__2024,street_token_expanded,LANSDOWNE AVENUE & BAILEY ROAD,DARBY,PA,19023
400019__2023__0162,400019__2023,provider_original,ASIA STREET,SANTURCE,PR,00910
480001__2023__0163,480001__2023,provider_original,9048 SUGAR ESTATE,ST. THOMAS,VI,00801
394056__2024__0164,394056__2024,provider_original,201 WELLNESS WAY,READING,PA,19605
400048__2024__0165,400048__2024,provider_original,AVE PEDRO ALBIZU CAMPOS,GUAYAMA,PR,00785
400048__2024__0166,400048__2024,street_token_expanded,AVENUE PEDRO ALBIZU CAMPOS,GUAYAMA,PR,00785
400102__2023__0167,400102__2023,provider_original,STREET J-9 EXT. HERMANAS DAVILA,BAYAMON,PR,00956
400102__2023__0168,400102__2023,punctuation_normalized,STREET J-9 EXT HERMANAS DAVILA,BAYAMON,PR,00956
400004__2024__0169,400004__2024,provider_original,SERGIO CUEVAS BUSTAMTE,SANJUAN,PR,00969
394040__2024__0170,394040__2024,provider_original,1 EARLYSTOWN RD,CENTRE HALL,PA,16828
394040__2024__0171,394040__2024,street_token_expanded,1 EARLYSTOWN ROAD,CENTRE HALL,PA,16828
460060__2024__0172,460060__2024,provider_original,11925 S STATE STREET,DRAPER,UT,84020
460060__2024__0173,460060__2024,street_token_expanded,11925 SOUTH STATE STREET,DRAPER,UT,84020
400138__2023__0174,400138__2023,provider_original,CARR. PR-2 KM 11.6 (INTERIOR),BAYAMON,PR,00959
400138__2023__0175,400138__2023,punctuation_normalized,CARR PR-2 KM 11 6 (INTERIOR),BAYAMON,PR,00959
400115__2023__0176,400115__2023,provider_original,#2 KM 39.5,VEGA BAJA,PR,00693
400115__2023__0177,400115__2023,punctuation_normalized,#2 KM 39 5,VEGA BAJA,PR,00693
400105__2024__0178,400105__2024,provider_original,LAUREL #100,BAYAMON,PR,00956
400105__2024__0179,400105__2024,suite_stripped,LAUREL,BAYAMON,PR,00956
660001__2023__0180,660001__2023,provider_original,LOWER NAVY HILL RD,SAIPAN,MP,96950
660001__2023__0181,660001__2023,street_token_expanded,LOWER NAVY HILL ROAD,SAIPAN,MP,96950
224039__2023__0182,224039__2023,provider_original,76 SUMMER STREED,HAVERHILL,MA,01832
480002__2023__0183,480002__2023,provider_original,4007 EAST DIAMOND RUBY,CHRISTIANSTED,VI,00820
403027__2023__0184,403027__2023,provider_original,MUNOZ RIVERA AVENUE #402,SAN JUAN PR 00918,PR,00918
403027__2023__0185,403027__2023,suite_stripped,MUNOZ RIVERA AVENUE,SAN JUAN PR 00918,PR,00918
400137__2023__0186,400137__2023,provider_original,RD 696 INTERSEC EFRON AVE BO HIGUI,DORADO,PR,00646
400137__2023__0187,400137__2023,street_token_expanded,ROAD 696 INTERSEC EFRON AVENUE BO HIGUI,DORADO,PR,00646
400122__2024__0188,400122__2024,provider_original,AVE LAS CUMBRES,GUAYNABO,PR,00970
400122__2024__0189,400122__2024,street_token_expanded,AVENUE LAS CUMBRES,GUAYNABO,PR,00970
400012__2024__0190,400012__2024,provider_original,CENTRO MEDICO,PO BOX 191811 SAN JUAN,PR,00919
241347__2023__0191,241347__2023,provider_original,112 SAINT OLAF AVENUE,CANBY,MN,56220
371307__2023__0192,371307__2023,provider_original,100 SOUTH ELLIS,BOISE CITY,OK,73933
400010__2023__0193,400010__2023,provider_original,PO BOX 1003,CASTANER,PR,00631
