batch_id,provider_row_id,attempt_label,census_street,census_city,census_state,census_zip,cms_provider_number,provider_name,fiscal_year,closeout_action,candidate_method,suggested_fips,suggested_county_name
190204__2023__044,190204__2023,provider_original,100 MEDICAL CENTER DRIVE,SLIDELL,LA,70461,190204,OCHSNER MEDICAL CENTER -NORTHSHORE,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22103,"St. Tammany Parish, Louisiana"
130071__2023__045,130071__2023,provider_original,9850 W. ST. LUKES DRIVE,NAMPA,ID,83687,130071,ST. LUKES NAMPA MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,16027,"Canyon County, Idaho"
210034__2024__046,210034__2024,provider_original,3001 SOUTH HANOVER STREET,BALTIMORE,MD,21225,210034,MEDSTAR HARBOR HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,24005,"Baltimore County, Maryland"
150088__2024__047,150088__2024,provider_original,2015 JACKSON STREET,ANDERSON,IN,46016,150088,ASCENSION ST. VINCENT ANDERSON,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,18095,"Madison County, Indiana"
190054__2023__048,190054__2023,provider_original,2315 W MAIN STREET,NEW IBERIA,LA,70562,190054,IBERIA MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22045,"Iberia Parish, Louisiana"
390198__2024__049,390198__2024,provider_original,5515 PEACH STREET,ERIE,PA,16509,390198,MILLCREEK COMMUNITY HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,42049,"Erie County, Pennsylvania"
454107__2023__050,454107__2023,provider_original,5314 DASHWOOD DRIVE,HOUSTON,TX,77081,454107,BEHAVIORAL HOSPITAL OF BELLAIRE,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48201,"Harris County, Texas"
324010__2023__051,324010__2023,provider_original,3751 DEL REY BLVD,LAS CRUCES,NM,88012,324010,BHC MESILLA VALLEY HOSPITAL LLC,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,35013,"Doña Ana County, New Mexico"
114036__2023__052,114036__2023,provider_original,2209 PINEVIEW DRIVE,VALDOSTA,GA,31602,114036,ACADIA GREENLEAF HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,13185,"Lowndes County, Georgia"
474001__2023__053,474001__2023,provider_original,ANNA MARSH LANE,BRATTLEBORO,VT,05302,474001,BRATTLEBORO RETREAT,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,50025,"Windham County, Vermont"
334012__2024__054,334012__2024,provider_original,425 ROBINSON ST,BINGHAMTON,NY,13901,334012,GREATER BINGHAMTON H.C.,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,36007,"Broome County, New York"
294011__2023__055,294011__2023,provider_original,7000 WEST SPRING MOUNTAIN ROAD,LAS VEGAS,NV,89117,294011,SPRING MOUNTAIN TREATMENT CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,32003,"Clark County, Nevada"
514009__2024__056,514009__2024,provider_original,1530 NORWAY AVENUE,HUNTINGTON,WV,25706,514009,MILDRED MITCHELL-BATEMAN HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,54011,"Cabell County, West Virginia"
050747__2023__057,050747__2023,provider_original,2710 SOUTH BRISTOL STREET,SANTA ANA,CA,82701,050747,SOUTH COAST GLOBAL MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06059,"Orange County, California"
100049__2023__058,100049__2023,provider_original,3600 S. HIGHLANDS AVENUE,SEBRING,FL,33870,100049,HCA FLORIDA HIGHLANDS HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12055,"Highlands County, Florida"
050744__2023__059,050744__2023,provider_original,1025 SOUTH ANAHEIM BOULEVARD,ANAHEIM,CA,92805,050744,ANAHEIM GLOBAL MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06059,"Orange County, California"
100363__2024__060,100363__2024,provider_original,1 ADVENTHEALTH WAY,PALM COAST,FL,32137,100363,ADVENTHEALTH PALM COAST PARKWAY,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12035,"Flagler County, Florida"
504014__2024__061,504014__2024,provider_original,104 W 5TH AVE,SPOKANE,WA,99204,504014,INLAND NORTHWEST BEHAVIORAL HEALTH,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,53063,"Spokane County, Washington"
034034__2023__062,034034__2023,provider_original,17300 NORTH DYSART ROAD,SURPRISE,AZ,85378,034034,DESTINY SPRINGS HEALTHCARE,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,04013,"Maricopa County, Arizona"
444030__2023__063,444030__2023,provider_original,4220 HARDING ROAD,NASHVILLE,TN,37205,444030,ST THOMAS ASCENSION,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,47037,"Davidson County, Tennessee"
190201__2024__064,190201__2024,provider_original,4200 NELSON RD,LAKE CHARLES,LA,70605,190201,LAKE AREA MEDICAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22019,"Calcasieu Parish, Louisiana"
064024__2023__065,064024__2023,provider_original,8565 S POPLAR WAY,LITTLETON,CO,80130,064024,UHS OF DENVER INC,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,08005,"Arapahoe County, Colorado"
123025__2023__066,123025__2023,provider_original,226 N. KUAKINI STREET,HONOLULU,HI,96817,123025,REHABILITATION HOSPITAL OF THE PACIF,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,15003,"Honolulu County, Hawaii"
