provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,street_address,city,zip5,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,geocoder_name,geocoder_display_name,attempt_label,attempt_query,candidate_issue
453317__2023,453317,2023,COOK CHILDREN CARE,TX,4100 W UNIVERSITY DR,PROSPER,75078,external_geocoder_required_no_local_candidate,hold,48085,"Collin County, Texas",0.52,West University Drive,"West University Drive, Prosper, Collin County, Texas, 75069, United States",address_only,"4100 W UNIVERSITY DR, PROSPER, TX, 75078",house_number_not_supported; postcode_not_supported; confidence_below_0_90
464007__2024,464007,2024,BENCHMARK BEHAVIORAL HEALTH SYSTEM I,UT,592 WEST 1350 SOUTH,WOOD CROSS,84087,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
493300__2024,493300,2024,CUMBERLAND HOSPITAL LLC,VA,9407 CUMBERLAND RD,NEW KENT,23124,external_geocoder_required_no_local_candidate,accept,51127,"New Kent County, Virginia",1.0,Cumberland Hospital for Children and Adolescents,"Cumberland Hospital for Children and Adolescents, 9407, Cumberland Road, New Kent County, Virginia, 23124, United States",address_only,"9407 CUMBERLAND RD, NEW KENT, VA, 23124",
514011__2023,514011,2023,HIGHLAND CLARKSBURG HOSPITAL INC,WV,3 HOSPITAL PLAZA,CLARKSBURG,26301,external_geocoder_required_no_local_candidate,accept,54033,"Harrison County, West Virginia",1.0,Highland-Clarksburg Hospital,"Highland-Clarksburg Hospital, 3, Hospital Plaza, Clarksburg, Harrison County, West Virginia, 26301, United States",address_only,"3 HOSPITAL PLAZA, CLARKSBURG, WV, 26301",
400109__2023,400109,2023,HOSPITAL HIMA SAN PABLO BAYAMON,PR,SANTA CRUZ # 70,BAYAMON,00959,external_geocoder_required_no_local_candidate,hold,72021,Bayamón Muno,0.9,Auxilio Mutuo San Pablo - Bayamón,"Auxilio Mutuo San Pablo - Bayamón, 70, Calle Santa Cruz, Juan Sánchez, Bayamón, Puerto Rico, 00959, United States",address_only,"SANTA CRUZ # 70, BAYAMON, PR, 00959",city_not_supported
400118__2023,400118,2023,DOCTOR CENTER HOSPITAL MANATI INC.,PR,CARR. #2,MANATI,00674,external_geocoder_required_no_local_candidate,hold,72091,Manatí Muno,0.48,PR-2 (Carr. Militar),"PR-2 (Carr. Militar), Carretera Fernando ""Nando"" Otero Sánchez, Comunidad La PRRA, Coto Norte, Manatí, Puerto Rico, 00701, United States",address_only,"CARR. #2, MANATI, PR, 00674",house_number_not_supported; postcode_not_supported; result_type_name_or_road_not_supported; confidence_below_0_90
650003__2023,650003,2023,GUAM REGIONAL MEDICAL CITY,GU,133 ROUTE 3,DEDEDO,96929,external_geocoder_required_no_local_candidate,hold,,,0.5,Guam Regional Medical City,"Guam Regional Medical City, 133, Brigadier General Ben Blaz Memorial Highway, Dededo Municipality, Guam, 96912, United States",provider_city_zip,"GUAM REGIONAL MEDICAL CITY, DEDEDO, GU, 96929",geocoder_point_not_in_county_lookup; geocoder_point_state_mismatch_provider_state; postcode_not_supported; confidence_below_0_90
404004__2023,404004,2023,FIRST HOSPITAL PANAMERICANO,PR,STATE ROAD #787,CIDRA,00739,external_geocoder_required_no_local_candidate,hold,72041,Cidra Muno,0.78,First Hospital Panamericano,"First Hospital Panamericano, Carretera Bayamón, Vista Monte, Comunidad Alturas de Arenas, Arenas, Cidra, Puerto Rico, 00739, United States",provider_city_zip,"FIRST HOSPITAL PANAMERICANO, CIDRA, PR, 00739",house_number_not_supported; confidence_below_0_90
400112__2024,400112,2024,HOSPITAL UPR,PR,STREET 3 KM 8.3 65 INFANTERIA AVE.,CAROLINA,00984,external_geocoder_required_no_local_candidate,hold,72031,Carolina Muno,0.78,Hospital de la UPR - Dr. Federico Trilla,"Hospital de la UPR - Dr. Federico Trilla, Avenida Regimiento 65 de Infantería, Cuesta Quiles, San Antón, Martín González, Carolina, Puerto Rico, 00984, United States",provider_city_zip,"HOSPITAL UPR, CAROLINA, PR, 00984",house_number_not_supported; confidence_below_0_90
400032__2023,400032,2023,BAYAMON MEDICAL CENTER,PR,CARR. #2 KM. 11.7,BAYAMON,00960,external_geocoder_required_no_local_candidate,hold,72021,Bayamón Muno,0.64,Varmed Health Center,"Varmed Health Center, Calle Manuel F. Rossy, Barrio Pueblo, Bayamón, Puerto Rico, 00960, United States",provider_city_zip,"BAYAMON MEDICAL CENTER, BAYAMON, PR, 00960",house_number_not_supported; city_not_supported; confidence_below_0_90
650001__2023,650001,2023,GUAM MEMORIAL HOSPITAL,GU,850 GOVERNOR CARLOS G CAMACHO RD,OKA TAMUNING,96911,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
390156__2024,390156,2024,MERCY CATHOLIC MEDICAL CENTER,PA,LANSDOWNE AVE & BAILEY RD.,DARBY,19023,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
400019__2023,400019,2023,HOSPITAL PAVIA SANTURCE,PR,ASIA STREET,SANTURCE,00910,external_geocoder_required_no_local_candidate,hold,72127,San Juan Muno,0.78,Hospital Pavía - Santurce,"Hospital Pavía - Santurce, 1462, Calle Sánchez, Melilla, Santurce, San Juan, Puerto Rico, 00910, United States",provider_city_zip,"HOSPITAL PAVIA SANTURCE, SANTURCE, PR, 00910",house_number_not_supported; confidence_below_0_90
480001__2023,480001,2023,ROY L SCHNEIDER HOSPITAL,VI,9048 SUGAR ESTATE,ST. THOMAS,00801,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
400048__2024,400048,2024,HOSPITAL MENONITA GUAYAMA,PR,AVE PEDRO ALBIZU CAMPOS,GUAYAMA,00785,external_geocoder_required_no_local_candidate,hold,72057,Guayama Muno,0.78,Hospital Menonita Guayama,"Hospital Menonita Guayama, Avenida José J. Torres Gómez, Vives, Reparto La Sabana, Barrio Pueblo, Guayama, Puerto Rico, 00785, United States",provider_city_zip,"HOSPITAL MENONITA GUAYAMA, GUAYAMA, PR, 00785",house_number_not_supported; confidence_below_0_90
400102__2023,400102,2023,DOCTORS CENTER HOSPITAL BAYAMON,PR,STREET J-9 EXT. HERMANAS DAVILA,BAYAMON,00956,external_geocoder_required_no_local_candidate,hold,72021,Bayamón Muno,0.5,Doctors' Center Hospital Bayamón,"Doctors' Center Hospital Bayamón, Avenida Dr. Ramón Emeterio Betances, Urbanización Hermanas Dávila, Sector Los Grillos, Hato Tejas, Bayamón, Puerto Rico, 00674, United States",provider_city_zip,"DOCTORS CENTER HOSPITAL BAYAMON, BAYAMON, PR, 00956",house_number_not_supported; postcode_not_supported; city_not_supported; confidence_below_0_90
394056__2024,394056,2024,TOWER BEHAVIORAL HEALTH,PA,201 WELLNESS WAY,READING,19605,external_geocoder_required_no_local_candidate,hold,,,,,,,,no_geocoder_result
