packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_row_id,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,census_candidate_confidence,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,production_model_rank_or_dashboard_change
21,464001,UTAH STATE HOSPITAL,UT,1300 E. CENTER STREET,PROVO,84606,,2024,cms_county_blank,high,49049,"Utah County, Utah",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,358.0,281.0,91351334.0,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8627,464001__2024,49049,"Utah County, Utah",Match,Exact,"1300 E CENTER ST, PROVO, UT, 84606",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
22,100131,HCA FLORIDA AVENTURA HOSPITAL,FL,2801 NE 209TH ST AT BISCAYNE BLVD,MIAMI,33180,,2023,cms_county_blank,high,12086,"Miami-Dade County, Florida",14,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,345.0,16726.0,274976619.0,403879134.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8313,100131__2023,12086,"Miami-Dade County, Florida",Match,Non_Exact,"NE 209TH ST & BISCAYNE BLVD, MIAMI, FL, 33180",0.88,provider_original,0.89,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
23,260183,SAINT FRANCIS MEDICAL CENTER,MO,211 ST. FRANCIS DRIVE,CAPE GIRARDEAU,63703,,2024,cms_county_blank,high,29031,"Cape Girardeau County, Missouri",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,282.0,7933.0,349717164.0,572487689.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8253,260183__2024,29031,"Cape Girardeau County, Missouri",Match,Exact,"211 ST FRANCIS DR, CAPE GIRARDEAU, MO, 63703",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
24,460047,ST MARKS HOSPITAL,UT,1200 EAST 3900 SOUTH,SALT LAKE CITY,84124,,2024,cms_county_blank,high,49035,"Salt Lake County, Utah",8,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,275.0,12699.0,325616873.0,565855730.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8157,460047__2024,49035,"Salt Lake County, Utah",Match,Exact,"1200 E 3900 S, SALT LAKE CITY, UT, 84124",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
25,420026,MUSC HEALTH COLUMBIA MEDICAL CENTER,SC,2435 FOREST DRIVE,COLUMBIA,29204,,2024,cms_county_blank,high,45079,"Richland County, South Carolina",7,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,332.0,10171.0,306821911.0,291344006.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8,420026__2024,45079,"Richland County, South Carolina",Match,Exact,"2435 FOREST DR, COLUMBIA, SC, 29204",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
26,100084,LEESBURG REGIONAL MEDICAL CENTER INC,FL,600 E DIXIE AVENUE,LEESBURG,34748,,2024,cms_county_blank,high,12069,"Lake County, Florida",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,330.0,13490.0,273589790.0,277928075.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.7952,100084__2024,12069,"Lake County, Florida",Match,Exact,"600 E DIXIE AVE, LEESBURG, FL, 34748",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
27,100242,HCA FLORIDA GULF COAST HOSPITAL,FL,449 WEST 23RD STREET,PANAMA CITY,32404,,2024,cms_county_blank,high,12005,"Bay County, Florida",4,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,261.0,15645.0,239750787.0,357369260.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.7589,100242__2024,12005,"Bay County, Florida",Match,Non_Exact,"449 W 23RD ST, PANAMA CITY, FL, 32405",0.8,provider_original,0.84,,same_city_census_context_only,Census result is useful context but not strict enough for automatic same-city acceptance.,False
28,050471,PIH HEALTH GOOD SAMARITAN HOSPITAL,CA,1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,,2023,cms_county_blank,high,06037,"Los Angeles County, California",22,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,308.0,10871.0,325320554.0,358863981.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.7422,050471__2023,06037,"Los Angeles County, California",Match,Exact,"1225 WILSHIRE BLVD, LOS ANGELES, CA, 90017",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
29,170176,OVERLAND PARK REGIONAL MED CTR,KS,10500 QUIVIRA ROAD,OVERLAND PARK,66215,,2024,cms_county_blank,high,20091,"Johnson County, Kansas",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,263.0,13527.0,293402477.0,503036879.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.7251,170176__2024,20091,"Johnson County, Kansas",Match,Exact,"10500 QUIVIRA RD, OVERLAND PARK, KS, 66215",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
30,230117,ASCENSION BORGESS HOSPITAL,MI,1521 GULL ROAD,KALAMAZOO,49048,,2024,cms_county_blank,high,26077,"Kalamazoo County, Michigan",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,236.0,11369.0,384716566.0,360342711.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.7074,230117__2024,26077,"Kalamazoo County, Michigan",Match,Exact,"1521 GULL RD, KALAMAZOO, MI, 49048",0.97,provider_original,0.93,,same_city_census_confirms_candidate,Street-level Census exact match confirms the same-city candidate county FIPS.,False
